TransCouple -> Gris
Date : 25-01-2016 15:56:20
Temps   Vitesse
15:56:20 0
15:56:21 0
15:56:21 0
15:56:22 0
15:56:22 0
15:56:23 0
15:56:23 0
15:56:24 0
15:56:24 0
15:56:25 0
15:56:25 0
15:56:26 0
15:56:26 0
15:56:27 0
15:56:27 0
15:56:28 0
15:56:28 0
15:56:29 0
15:56:29 0
15:56:30 0
15:56:30 0
15:56:31 0
15:56:31 0
15:56:32 0
15:56:32 113301
15:56:33 69959
15:56:33 24025
15:56:34 3327
15:56:34 472
15:56:35 45895
15:56:35 214231
15:56:36 242937
15:56:36 246707
15:56:37 243570
15:56:37 241096
15:56:38 237959
15:56:38 241587
15:56:39 244014
15:56:39 240470
15:56:40 236913
15:56:40 244600
15:56:41 244497
15:56:41 254805
15:56:42 265972
15:56:43 276709
15:56:43 288877
15:56:44 296366
15:56:44 309028
15:56:45 321058
15:56:45 325166
15:56:46 325725
15:56:46 326603
15:56:47 325227
15:56:47 325731
15:56:48 328026
15:56:48 325213
15:56:49 323084
15:56:49 323142
15:56:50 326193
15:56:50 326475
15:56:51 324024
15:56:51 323290
15:56:52 324256
15:56:52 320555
15:56:53 324170
15:56:53 324068
15:56:54 323094
15:56:54 321373
15:56:55 322528
15:56:55 316627
15:56:56 317384
15:56:56 313650
15:56:57 304517
15:56:57 301169
15:56:58 309166
15:56:58 317913
15:56:59 325492
15:56:59 332211
15:57:00 327715
15:57:00 325397
15:57:01 332369
15:57:01 339337
15:57:02 339263
15:57:02 344037
15:57:03 337854
15:57:03 329360
15:57:04 324286
15:57:04 324348
15:57:05 326279
15:57:05 326343
15:57:06 324622
15:57:06 320717
15:57:07 323036
15:57:07 321349
15:57:08 323780
15:57:08 323084
15:57:09 319694
15:57:09 321652
15:57:10 319122
15:57:10 319308
15:57:11 321889
15:57:11 325740
15:57:12 320652
15:57:12 327419
15:57:13 328863
15:57:13 327788
15:57:14 328724
15:57:14 327658
15:57:15 331134
15:57:15 331937
15:57:16 326101
15:57:16 325626
15:57:17 327182
15:57:17 327101
15:57:18 323779
15:57:18 318885
15:57:19 327521
15:57:19 325735
15:57:20 325188
15:57:20 325301
15:57:21 322352
15:57:21 323742
15:57:22 321403
15:57:22 323817
15:57:23 321200
15:57:23 324672
15:57:24 323092
15:57:24 320489
15:57:25 326063
15:57:25 326803
15:57:26 325126
15:57:26 326821
15:57:27 325303
15:57:27 324093
15:57:28 326480
15:57:28 329216
15:57:29 334600
15:57:29 327794
15:57:30 334690
15:57:30 330020
15:57:31 324005
15:57:31 322893
15:57:32 322891
15:57:32 321035
15:57:33 322638
15:57:33 326305
15:57:34 320923
15:57:34 319265
15:57:35 321756
15:57:35 321065
15:57:36 323273
15:57:36 324604
15:57:37 325294
15:57:37 323015
15:57:38 323571
15:57:38 325751
15:57:39 321635
15:57:39 325689
15:57:40 325152
15:57:40 320592
15:57:41 320846
15:57:41 321608
15:57:42 319195
15:57:42 317899
15:57:43 326830
15:57:43 326084
15:57:44 321788
15:57:44 324475
15:57:45 322405
15:57:45 320872
15:57:46 327745
15:57:46 329236
15:57:47 328793
15:57:47 322200
15:57:48 322257
15:57:48 327182
15:57:49 328023
15:57:49 321769
15:57:50 322634
15:57:50 322378
15:57:51 325740
15:57:51 326477
15:57:52 324065
15:57:52 0
15:57:53 0
15:57:53 0
15:57:54 0
15:57:54 0
15:57:55 0
15:57:55 0
15:57:56 0
15:57:56 0
15:57:57 0
