TransCouple -> Gris
Date : 25-01-2016 13:56:21
Temps   Vitesse
13:56:22 0
13:56:22 0
13:56:23 0
13:56:23 0
13:56:24 0
13:56:24 0
13:56:25 0
13:56:25 0
13:56:26 0
13:56:26 0
13:56:27 0
13:56:27 0
13:56:28 0
13:56:28 0
13:56:29 0
13:56:29 0
13:56:30 0
13:56:30 0
13:56:31 0
13:56:31 0
13:56:32 0
13:56:32 0
13:56:33 0
13:56:33 0
13:56:34 0
13:56:34 0
13:56:35 0
13:56:35 0
13:56:36 0
13:56:36 0
13:56:37 0
13:56:37 0
13:56:38 0
13:56:38 0
13:56:39 0
13:56:39 0
13:56:40 0
13:56:40 0
13:56:41 0
13:56:41 0
13:56:42 0
13:56:42 0
13:56:43 0
13:56:43 0
13:56:44 11773
13:56:44 271160
13:56:45 346837
13:56:45 344509
13:56:46 349545
13:56:46 346910
13:56:47 340229
13:56:47 345102
13:56:48 341976
13:56:48 338086
13:56:49 343813
13:56:49 343713
13:56:50 339580
13:56:50 345043
13:56:51 343855
13:56:51 347488
13:56:52 340170
13:56:52 355485
13:56:53 349484
13:56:53 355525
13:56:54 352782
13:56:54 354038
13:56:55 358386
13:56:55 352978
13:56:56 348486
13:56:56 343790
13:56:57 341419
13:56:57 344296
13:56:58 344174
13:56:58 342481
13:56:59 341756
13:56:59 339049
13:57:00 339601
13:57:00 336742
13:57:01 337188
13:57:01 334784
13:57:02 337295
13:57:02 331672
13:57:03 329324
13:57:03 325137
13:57:04 321531
13:57:04 323788
13:57:05 323166
13:57:05 323079
13:57:06 323635
13:57:06 330376
13:57:07 333715
13:57:07 333735
13:57:08 334277
13:57:08 340971
13:57:09 342476
13:57:09 342319
13:57:10 345672
13:57:10 347386
13:57:11 346161
13:57:11 346186
13:57:12 348548
13:57:12 348815
13:57:13 348319
13:57:13 348334
13:57:14 343867
13:57:14 338526
13:57:15 344981
13:57:15 337347
13:57:16 336016
13:57:16 337354
13:57:17 338254
13:57:17 334395
13:57:18 329414
13:57:18 329656
13:57:19 330862
13:57:19 335533
13:57:20 336035
13:57:20 349695
13:57:21 344875
13:57:21 341382
13:57:22 355587
13:57:22 353370
13:57:23 350916
13:57:23 348024
13:57:24 346483
13:57:24 339956
13:57:25 338571
13:57:25 347022
13:57:26 345168
13:57:26 347211
13:57:27 351486
13:57:27 344732
13:57:28 347455
13:57:28 340287
13:57:29 329968
13:57:29 336886
13:57:30 339131
13:57:30 339396
13:57:31 338146
13:57:31 340297
13:57:32 333849
13:57:32 336411
13:57:33 340920
13:57:33 338569
13:57:34 332765
13:57:34 342788
13:57:35 347703
13:57:35 343965
13:57:36 349227
13:57:36 346413
13:57:37 348125
13:57:37 348102
13:57:38 347777
13:57:38 344790
13:57:39 347136
13:57:39 345435
13:57:40 343486
13:57:40 342368
13:57:41 352779
13:57:41 333269
13:57:42 332679
13:57:42 334328
13:57:43 339826
13:57:43 339299
13:57:44 341150
13:57:44 338821
13:57:45 334862
13:57:45 338059
13:57:46 339648
13:57:46 334500
13:57:47 334431
13:57:47 335467
13:57:48 335160
13:57:48 335325
13:57:49 333054
13:57:49 331398
13:57:50 335896
13:57:50 334979
13:57:51 334197
13:57:51 338293
13:57:52 332393
13:57:52 332305
13:57:53 0
13:57:53 0
13:57:54 0
13:57:54 0
13:57:55 0
13:57:55 0
13:57:56 0
13:57:56 0
13:57:57 0
13:57:57 0
13:57:58 100105
13:57:58 255853
13:57:59 289986
13:57:59 313919
13:58:00 321543
13:58:00 321796
13:58:01 321513
13:58:01 321824
13:58:02 322827
13:58:02 327644
13:58:03 326376
13:58:03 323178
13:58:04 323330
13:58:04 322351
13:58:05 315167
13:58:05 320070
13:58:06 325318
13:58:06 324448
13:58:07 321099
13:58:07 321512
13:58:08 321480
13:58:08 323700
13:58:09 326044
13:58:09 325572
13:58:10 321513
13:58:10 318268
13:58:11 306618
13:58:11 309588
13:58:12 308882
13:58:12 307863
13:58:13 304985
13:58:13 302459
13:58:14 303480
13:58:14 305527
13:58:15 306206
13:58:15 302575
13:58:16 304859
13:58:16 301158
13:58:17 302476
13:58:17 300719
13:58:18 305431
13:58:18 305546
13:58:19 314080
13:58:19 314750
13:58:20 316203
13:58:20 317250
13:58:21 315681
13:58:21 316796
13:58:22 315112
13:58:22 315179
13:58:23 313660
13:58:23 310896
13:58:24 305590
13:58:24 301419
13:58:25 300585
13:58:25 297818
13:58:26 295824
13:58:26 296157
13:58:27 296393
13:58:27 294482
13:58:28 298465
13:58:28 299334
13:58:29 299444
13:58:29 301600
13:58:30 304806
13:58:30 303525
13:58:31 303949
13:58:31 303944
13:58:32 300374
13:58:32 302456
13:58:33 300677
13:58:33 302701
13:58:34 300785
13:58:34 310431
13:58:35 313170
13:58:35 316082
13:58:36 317592
13:58:36 321787
13:58:37 321309
13:58:37 318937
13:58:38 317293
13:58:38 309461
13:58:39 306867
13:58:39 306962
13:58:40 302537
13:58:40 300848
13:58:41 303291
13:58:41 299356
13:58:42 304093
13:58:42 305181
13:58:43 303185
13:58:43 304569
13:58:44 304737
13:58:44 305433
13:58:45 302929
13:58:45 304350
13:58:46 305289
13:58:46 305934
13:58:47 304065
13:58:47 306882
13:58:48 308036
13:58:48 305853
13:58:49 304022
13:58:49 315773
13:58:50 322078
13:58:50 325081
13:58:51 327879
13:58:51 325548
13:58:52 327204
13:58:52 328446
13:58:53 324692
13:58:53 321240
13:58:54 320495
13:58:54 318671
13:58:55 315172
13:58:55 319438
13:58:56 318714
13:58:56 315962
13:58:57 318152
13:58:57 317723
13:58:58 315701
13:58:58 310351
13:58:59 313772
13:58:59 313880
13:59:00 312842
13:59:00 309959
13:59:01 304333
13:59:01 303518
13:59:02 302823
13:59:02 299074
13:59:03 290830
13:59:03 295193
13:59:04 298158
13:59:04 299340
13:59:05 309072
13:59:05 311979
13:59:06 314513
13:59:06 313669
13:59:07 318337
13:59:07 315657
13:59:08 317495
13:59:08 320385
13:59:09 319551
13:59:09 319526
13:59:10 321471
13:59:10 321065
13:59:11 318543
13:59:11 315173
13:59:12 316665
13:59:12 314887
13:59:13 312819
13:59:13 0
13:59:14 0
13:59:14 0
13:59:15 0
13:59:15 0
