TransCouple -> No-Color
Date : 25-01-2016 13:56:21
Temps   Vitesse
13:56:22 0
13:56:22 0
13:56:23 0
13:56:23 0
13:56:24 0
13:56:24 0
13:56:25 0
13:56:25 0
13:56:26 0
13:56:26 0
13:56:27 0
13:56:27 0
13:56:28 0
13:56:28 0
13:56:29 0
13:56:29 0
13:56:30 0
13:56:30 0
13:56:31 0
13:56:31 0
13:56:32 0
13:56:32 0
13:56:33 0
13:56:33 0
13:56:34 0
13:56:34 0
13:56:35 0
13:56:35 0
13:56:36 0
13:56:36 0
13:56:37 0
13:56:37 0
13:56:38 0
13:56:38 0
13:56:39 0
13:56:39 0
13:56:40 0
13:56:40 0
13:56:41 0
13:56:41 0
13:56:42 0
13:56:42 0
13:56:43 0
13:56:43 0
13:56:44 14014
13:56:44 262448
13:56:45 334776
13:56:45 344561
13:56:46 345017
13:56:46 346208
13:56:47 337724
13:56:47 336568
13:56:48 340914
13:56:48 338647
13:56:49 339798
13:56:49 341864
13:56:50 335719
13:56:50 339381
13:56:51 342463
13:56:51 341404
13:56:52 335665
13:56:52 346579
13:56:53 345200
13:56:53 348227
13:56:54 348875
13:56:54 347291
13:56:55 351945
13:56:55 347231
13:56:56 348510
13:56:56 345891
13:56:57 338829
13:56:57 341390
13:56:58 341508
13:56:58 337080
13:56:59 341741
13:56:59 340289
13:57:00 334889
13:57:00 335353
13:57:01 336983
13:57:01 332237
13:57:02 331893
13:57:02 330673
13:57:03 330481
13:57:03 325483
13:57:04 319882
13:57:04 318273
13:57:05 317800
13:57:05 319554
13:57:06 323537
13:57:06 330454
13:57:07 328246
13:57:07 329271
13:57:08 335793
13:57:08 339392
13:57:09 336618
13:57:09 340615
13:57:10 343207
13:57:10 342452
13:57:11 346546
13:57:11 346080
13:57:12 343659
13:57:12 347901
13:57:13 345421
13:57:13 347695
13:57:14 347181
13:57:14 339519
13:57:15 346072
13:57:15 339798
13:57:16 335244
13:57:16 339658
13:57:17 338129
13:57:17 332005
13:57:18 328976
13:57:18 331089
13:57:19 330721
13:57:19 330629
13:57:20 330530
13:57:20 342457
13:57:21 338663
13:57:21 337156
13:57:22 346869
13:57:22 346936
13:57:23 346005
13:57:23 347800
13:57:24 344503
13:57:24 345792
13:57:25 341158
13:57:25 342325
13:57:26 346587
13:57:26 345472
13:57:27 346327
13:57:27 348480
13:57:28 345588
13:57:28 345810
13:57:29 336723
13:57:29 337893
13:57:30 339167
13:57:30 339571
13:57:31 336401
13:57:31 335603
13:57:32 334002
13:57:32 336151
13:57:33 333334
13:57:33 336898
13:57:34 332944
13:57:34 336096
13:57:35 337305
13:57:35 342030
13:57:36 341083
13:57:36 343209
13:57:37 344552
13:57:37 342283
13:57:38 345617
13:57:38 344077
13:57:39 342196
13:57:39 345648
13:57:40 340058
13:57:40 339926
13:57:41 347401
13:57:41 334060
13:57:42 330039
13:57:42 334126
13:57:43 336708
13:57:43 336522
13:57:44 338939
13:57:44 339114
13:57:45 335209
13:57:45 335458
13:57:46 336548
13:57:46 332888
13:57:47 331817
13:57:47 329183
13:57:48 330389
13:57:48 332483
13:57:49 329813
13:57:49 325839
13:57:50 328090
13:57:50 330220
13:57:51 331293
13:57:51 330314
13:57:52 325549
13:57:52 329183
13:57:53 0
13:57:53 0
13:57:54 0
13:57:54 0
13:57:55 0
13:57:55 0
13:57:56 0
13:57:56 0
13:57:57 0
13:57:57 0
13:57:58 101878
13:57:58 311924
13:57:59 340056
13:57:59 318292
13:58:00 317574
13:58:00 321821
13:58:01 323745
13:58:01 323427
13:58:02 322742
13:58:02 322974
13:58:03 321014
13:58:03 322045
13:58:04 323504
13:58:04 324227
13:58:05 317447
13:58:05 318319
13:58:06 321478
13:58:06 320789
13:58:07 321600
13:58:07 324183
13:58:08 322742
13:58:08 325073
13:58:09 324799
13:58:09 324240
13:58:10 322043
13:58:10 320781
13:58:11 311480
13:58:11 313789
13:58:12 313616
13:58:12 312224
13:58:13 311913
13:58:13 310381
13:58:14 308283
13:58:14 309349
13:58:15 308105
13:58:15 305113
13:58:16 306114
13:58:16 304817
13:58:17 305251
13:58:17 302461
13:58:18 306584
13:58:18 306613
13:58:19 313044
13:58:19 314107
13:58:20 314114
13:58:20 316314
13:58:21 314069
13:58:21 313858
13:58:22 311419
13:58:22 314268
13:58:23 312691
13:58:23 314402
13:58:24 310957
13:58:24 306751
13:58:25 305730
13:58:25 302436
13:58:26 300224
13:58:26 298435
13:58:27 296678
13:58:27 295905
13:58:28 300407
13:58:28 302590
13:58:29 303173
13:58:29 303905
13:58:30 307006
13:58:30 305229
13:58:31 304045
13:58:31 304362
13:58:32 301749
13:58:32 303596
13:58:33 298864
13:58:33 304339
13:58:34 301720
13:58:34 309420
13:58:35 312883
13:58:35 316245
13:58:36 317422
13:58:36 319285
13:58:37 322116
13:58:37 321984
13:58:38 321135
13:58:38 315069
13:58:39 311531
13:58:39 310684
13:58:40 305599
13:58:40 303202
13:58:41 305398
13:58:41 302364
13:58:42 305611
13:58:42 306339
13:58:43 305070
13:58:43 304982
13:58:44 305171
13:58:44 307094
13:58:45 305126
13:58:45 306515
13:58:46 307903
13:58:46 308503
13:58:47 306453
13:58:47 308164
13:58:48 309405
13:58:48 308607
13:58:49 306312
13:58:49 317845
13:58:50 322146
13:58:50 325536
13:58:51 327907
13:58:51 326525
13:58:52 328306
13:58:52 328240
13:58:53 323803
13:58:53 320346
13:58:54 319136
13:58:54 318706
13:58:55 316641
13:58:55 319871
13:58:56 320012
13:58:56 316958
13:58:57 317592
13:58:57 317286
13:58:58 314027
13:58:58 309672
13:58:59 311261
13:58:59 311487
13:59:00 310007
13:59:00 309685
13:59:01 304612
13:59:01 305131
13:59:02 305131
13:59:02 302306
13:59:03 298433
13:59:03 297721
13:59:04 296469
13:59:04 296641
13:59:05 305511
13:59:05 309271
13:59:06 312361
13:59:06 310264
13:59:07 314624
13:59:07 311153
13:59:08 313664
13:59:08 318033
13:59:09 318706
13:59:09 319336
13:59:10 320922
13:59:10 319757
13:59:11 316786
13:59:11 313599
13:59:12 314013
13:59:12 311763
13:59:13 312180
13:59:13 0
13:59:14 0
13:59:14 0
13:59:15 0
13:59:15 0
