TransCouple -> Gris
Date : 25-01-2016 14:12:37
Temps   Vitesse
14:12:38 0
14:12:38 0
14:12:39 0
14:12:39 0
14:12:40 0
14:12:40 0
14:12:41 0
14:12:41 0
14:12:42 0
14:12:42 0
14:12:43 0
14:12:43 0
14:12:44 0
14:12:44 0
14:12:45 0
14:12:45 0
14:12:46 0
14:12:46 0
14:12:47 0
14:12:47 0
14:12:48 0
14:12:48 0
14:12:49 0
14:12:49 0
14:12:50 0
14:12:50 0
14:12:51 0
14:12:51 0
14:12:52 0
14:12:52 0
14:12:53 0
14:12:53 0
14:12:54 0
14:12:54 0
14:12:55 0
14:12:55 0
14:12:56 0
14:12:56 0
14:12:57 0
14:12:57 0
14:12:58 0
14:12:58 0
14:12:59 0
14:12:59 0
14:13:00 0
14:13:00 0
14:13:01 0
14:13:01 0
14:13:02 0
14:13:02 0
14:13:03 0
14:13:03 0
14:13:04 0
14:13:04 0
14:13:05 0
14:13:05 0
14:13:06 0
14:13:06 0
14:13:07 204894
14:13:07 316560
14:13:08 332521
14:13:08 323061
14:13:09 319948
14:13:09 316080
14:13:10 319812
14:13:10 316541
14:13:11 316491
14:13:11 319829
14:13:12 319022
14:13:12 316087
14:13:13 321789
14:13:13 318324
14:13:14 316535
14:13:14 318974
14:13:15 317629
14:13:15 318005
14:13:16 335495
14:13:16 324927
14:13:17 323270
14:13:17 327556
14:13:18 329128
14:13:18 334856
14:13:19 335193
14:13:19 326074
14:13:20 322451
14:13:20 323056
14:13:21 324797
14:13:21 321346
14:13:22 314392
14:13:22 319348
14:13:23 315980
14:13:23 316607
14:13:24 313801
14:13:24 310525
14:13:25 305478
14:13:25 308665
14:13:26 308349
14:13:26 305454
14:13:27 305010
14:13:27 303346
14:13:28 294219
14:13:28 296051
14:13:29 294912
14:13:29 294811
14:13:30 296518
14:13:30 299542
14:13:31 305861
14:13:31 307961
14:13:32 309906
14:13:32 312434
14:13:33 314579
14:13:33 315919
14:13:34 316672
14:13:34 318245
14:13:35 322363
14:13:35 327002
14:13:36 326643
14:13:36 320934
14:13:37 326861
14:13:37 327923
14:13:38 328253
14:13:38 325419
14:13:39 323068
14:13:39 316623
14:13:40 318211
