300000,000000 21238739 1 0 0
300000,000000 21388889 150150 0 0
300000,000000 21539021 150132 0 0
300000,000000 21689163 150142 0 0
300000,000000 21839323 150160 0 0
300000,000000 21989448 150125 0 0
300000,000000 22139600 150152 0 0
300000,000000 22289737 150137 0 0
300000,000000 22439874 150137 0 0
300000,000000 22590011 150137 0 0
300000,000000 22740147 150136 0 0
300000,000000 22890281 150134 0 0
300000,000000 23040385 150104 0 0
300000,000000 23190517 150132 0 0
300000,000000 23340611 150094 0 0
300000,000000 23490756 150145 0 0
300000,000000 23640866 150110 0 0
300000,000000 23791010 150144 0 0
300000,000000 23941169 150159 0 0
300000,000000 24091323 150154 0 0
300000,000000 24241486 150163 0 0
300000,000000 24391580 150094 0 0
300000,000000 24541694 150114 0 0
300000,000000 24691834 150140 0 0
300000,000000 24841968 150134 0 0
300000,000000 24992048 150080 0 0
300000,000000 25142135 150087 0 0
300000,000000 25292219 150084 0 0
300000,000000 25442311 150092 0 0
300000,000000 25592402 150091 0 0
300000,000000 25742543 150141 0 0
300000,000000 25892677 150134 0 0
300000,000000 26042816 150139 0 0
300000,000000 26192976 150160 0 0
300000,000000 26343141 150165 0 0
300000,000000 26493304 150163 0 0
300000,000000 26643447 150143 0 0
300000,000000 26793535 150088 0 0
300000,000000 26943667 150132 0 0
300000,000000 27093801 150134 0 0
299996,090286 27243934 150133 10000 1
299992,182057 27394010 150076 10000 9885
299988,273255 27544108 150098 10000 10000
299984,363281 27694251 150143 10000 10000
299980,452891 27844410 150159 10000 10000
299976,542214 27994580 150170 10000 10000
299972,631641 28144746 150166 10000 10000
299968,721172 28294908 150162 10000 10000
299964,810573 28445075 150167 10000 10000
299960,900000 28595241 150166 10000 10000
299956,990599 28745362 150121 10000 10000
299953,080130 28895524 150162 10000 10000
299949,170990 29045635 150111 10000 10000
299945,260911 29195782 150147 10000 10000
299941,350885 29345927 150145 10000 10000
299937,441016 29496066 150139 10000 10000
299933,531250 29646201 150135 10000 10000
299929,622266 29796306 150105 10000 10000
299925,712161 29946454 150148 10000 10000
299921,802370 30096590 150136 10000 10000
299917,893333 30246697 150107 10000 10000
299913,983880 30396820 150123 10000 10000
299910,074922 30546924 150104 10000 10000
299906,166094 30697023 150099 10000 10000
299902,256354 30847157 150134 10000 10000
299898,346562 30997293 150136 10000 10000
299894,436823 31147427 150134 10000 10000
299890,527083 31297561 150134 10000 10000
