TransCouple -> Rouge
Date : 17-02-2016 11:35:21
Temps   Vitesse
11:35:21 0
11:35:22 0
11:35:22 0
11:35:23 0
11:35:23 0
11:35:24 0
11:35:24 0
11:35:25 0
11:35:25 0
11:35:26 0
11:35:26 0
11:35:27 0
11:35:27 0
11:35:28 0
11:35:28 0
11:35:29 0
11:35:29 0
11:35:30 0
11:35:30 0
11:35:31 0
11:35:31 0
11:35:32 0
11:35:32 0
11:35:33 0
11:35:33 0
11:35:34 0
11:35:34 71497
11:35:35 297873
11:35:35 330138
11:35:36 331171
11:35:36 331014
11:35:37 329562
11:35:37 331321
11:35:38 330053
11:35:38 328600
11:35:39 329718
11:35:39 334162
11:35:40 332289
11:35:40 331022
11:35:41 333215
11:35:41 332277
11:35:42 332717
11:35:42 329876
11:35:43 336814
11:35:43 340506
11:35:44 336713
11:35:44 338745
11:35:45 341239
11:35:45 340599
11:35:46 343571
11:35:46 345700
11:35:47 346678
11:35:47 350961
11:35:48 346218
11:35:48 349788
11:35:49 349081
11:35:49 348045
11:35:50 354355
11:35:50 351305
11:35:51 357573
11:35:51 353218
11:35:52 360054
11:35:52 360389
11:35:53 368220
11:35:53 370821
11:35:54 372544
11:35:54 379594
11:35:55 380065
11:35:55 378279
11:35:56 379411
11:35:56 381316
11:35:57 380667
11:35:57 381595
11:35:58 385493
11:35:58 388578
11:35:59 390705
11:35:59 390064
11:36:00 388840
11:36:00 392725
11:36:01 392669
11:36:01 396962
11:36:02 397605
11:36:02 398982
11:36:03 402884
11:36:03 405132
11:36:04 409285
11:36:04 409479
11:36:05 409606
11:36:05 407221
11:36:06 400289
11:36:06 396481
11:36:07 395666
11:36:07 396008
11:36:08 395612
11:36:08 399492
11:36:09 394995
11:36:09 397307
11:36:10 399445
11:36:10 401403
11:36:11 404063
11:36:11 400895
11:36:12 400625
11:36:12 395508
11:36:13 398397
11:36:13 400776
11:36:14 401273
11:36:14 399606
11:36:15 395959
11:36:15 394470
11:36:16 390121
11:36:17 390373
11:36:17 382901
11:36:17 388750
11:36:18 387585
11:36:18 382673
11:36:19 382460
11:36:19 385266
11:36:20 393199
11:36:21 396422
11:36:21 392775
11:36:22 391467
11:36:22 387161
11:36:23 392153
11:36:23 392634
11:36:24 397236
11:36:24 393785
11:36:25 388362
11:36:25 386654
11:36:26 384911
11:36:26 387774
11:36:27 387012
11:36:27 382486
11:36:28 384714
11:36:28 386597
11:36:29 380335
11:36:29 376465
11:36:30 380916
11:36:30 385761
11:36:31 378831
11:36:31 377539
11:36:32 377369
11:36:32 374382
11:36:33 373395
11:36:33 376488
11:36:34 373227
11:36:34 370859
11:36:35 378054
11:36:35 373132
11:36:36 368610
11:36:36 372559
11:36:37 367901
11:36:37 373867
11:36:38 373916
11:36:38 368396
11:36:39 373649
11:36:39 367822
11:36:40 367048
11:36:40 372776
11:36:41 368949
11:36:41 371984
11:36:42 367568
11:36:42 0
11:36:43 0
