TransVit -> Vert
Date : 22-01-2016 17:39:27
Temps   Vitesse
17:40:19 280000 280000
17:40:19 280000 280000
17:40:20 280000 280000
17:40:20 280000 280000
17:40:21 280000 280000
17:40:21 280000 280000
17:40:22 280000 280000
17:40:22 280000 280000
17:40:23 280000 280000
17:40:23 280000 280000
17:40:24 280000 280000
17:40:24 280000 280000
17:40:25 280000 280000
17:40:25 280000 280000
17:40:26 289791 300000
17:40:26 300000 300000
17:40:27 300000 300000
17:40:27 300000 300000
17:40:28 300000 300000
17:40:28 300000 300000
17:40:29 300000 300000
17:40:29 300000 300000
17:40:30 300000 300000
17:40:30 300000 300000
17:40:31 300000 300000
17:40:31 300000 300000
17:40:32 300000 300000
17:40:32 300000 300000
17:40:33 310815 320000
17:40:33 320000 320000
17:40:34 320000 320000
17:40:34 320000 320000
17:40:35 320000 320000
17:40:35 320000 320000
17:40:36 320000 320000
17:40:36 320000 320000
17:40:37 320000 320000
17:40:37 320000 320000
17:40:38 320000 320000
17:40:38 320000 320000
17:40:39 331743 340000
17:40:39 340000 340000
17:40:40 340000 340000
17:40:40 340000 340000
17:40:41 340000 340000
17:40:41 340000 340000
17:40:42 340000 340000
17:40:42 340000 340000
17:40:43 327508 320000
17:40:43 320000 320000
17:40:44 320000 320000
17:40:44 320000 320000
17:40:45 307563 300000
17:40:45 300000 300000
17:40:46 287130 280000
17:40:46 280000 280000
17:40:47 280000 280000
17:40:47 280000 280000
17:40:48 266577 260000
17:40:48 260000 260000
17:40:49 246923 240000
17:40:49 240000 240000
17:40:50 226296 220000
17:40:50 220000 220000
17:40:51 206249 200000
17:40:51 200000 200000
17:40:52 200000 200000
17:40:52 200000 200000
17:40:53 200000 200000
17:40:53 200000 200000
17:40:54 200000 200000
17:40:54 200000 200000
17:40:55 214395 220000
17:40:55 220000 220000
17:40:56 220000 220000
17:40:56 234506 240000
17:40:57 240000 240000
17:40:57 240000 240000
17:40:58 254484 260000
17:40:58 260000 260000
17:40:59 260000 260000
17:40:59 274718 280000
17:41:00 280000 280000
17:41:00 295005 300000
17:41:01 300000 300000
17:41:01 300000 300000
17:41:02 300000 300000
17:41:02 300000 320000
17:41:03 315396 320000
17:41:03 320000 320000
17:41:04 320000 320000
17:41:04 320000 320000
17:41:05 320000 320000
17:41:05 320000 320000
17:41:06 320000 320000
17:41:06 320000 320000
17:41:07 320000 320000
17:41:07 320000 320000
17:41:08 320000 320000
17:41:08 320000 320000
17:41:09 320000 320000
17:41:09 320000 320000
17:41:10 320000 320000
17:41:10 336797 340000
17:41:11 340000 340000
17:41:11 340000 340000
17:41:12 340000 340000
17:41:12 340000 340000
17:41:13 340000 340000
17:41:13 340000 340000
17:41:14 340000 340000
17:41:14 340000 340000
17:41:15 340000 340000
17:41:15 340000 340000
17:41:16 340000 340000
17:41:16 340000 340000
17:41:17 340000 340000
17:41:17 340000 340000
17:41:18 340000 340000
17:41:18 340000 340000
17:41:19 340000 340000
17:41:19 340000 340000
17:41:20 340000 340000
17:41:20 340000 340000
17:41:21 340000 340000
17:41:21 340000 340000
17:41:22 340000 340000
17:41:22 340000 320000
17:41:23 320771 320000
17:41:23 320000 320000
17:41:24 320000 320000
17:41:24 320000 320000
17:41:25 320000 320000
17:41:25 300509 300000
17:41:26 300000 300000
17:41:26 300000 300000
17:41:27 280396 280000
17:41:27 280000 280000
17:41:28 260650 260000
17:41:28 260000 260000
17:41:29 240161 240000
17:41:29 240000 240000
17:41:30 220064 220000
17:41:30 220000 220000
17:41:31 200000 200000
17:41:31 200000 200000
17:41:32 200000 200000
17:41:32 200000 200000
17:41:33 200000 200000
17:41:33 200000 200000
17:41:34 200000 200000
17:41:34 200000 200000
17:41:35 200000 200000
17:41:35 200000 200000
17:41:36 178596 0
17:41:36 129179 0
17:41:37 78580 0
17:41:37 0 0
17:41:38 0 0
