TransCouple -> Rouge
Date : 17-02-2016 11:39:45
Temps   Vitesse
11:39:46 0
11:39:46 0
11:39:47 0
11:39:47 0
11:39:48 0
11:39:48 0
11:39:49 0
11:39:49 0
11:39:50 0
11:39:50 0
11:39:51 0
11:39:51 0
11:39:52 0
11:39:52 0
11:39:53 0
11:39:53 0
11:39:54 0
11:39:54 0
11:39:55 0
11:39:55 186747
11:39:56 318459
11:39:56 326557
11:39:57 328220
11:39:57 327510
11:39:58 324105
11:39:58 319987
11:39:59 319547
11:39:59 317923
11:40:00 320273
11:40:00 320235
11:40:01 320917
11:40:01 321872
11:40:02 321481
11:40:02 318500
11:40:03 320287
11:40:03 321704
11:40:04 324215
11:40:04 326634
11:40:05 324582
11:40:05 321077
11:40:06 320461
11:40:06 320191
11:40:07 325055
11:40:07 330606
11:40:08 328097
11:40:08 327412
11:40:09 329064
11:40:09 333848
11:40:10 334182
11:40:10 332753
11:40:11 335495
11:40:11 342657
11:40:12 337567
11:40:12 341031
11:40:13 343164
11:40:13 337111
11:40:14 338265
11:40:14 342769
11:40:15 341004
11:40:15 340970
11:40:16 345690
11:40:16 342260
11:40:17 342650
11:40:17 345949
11:40:18 346215
11:40:18 351244
11:40:19 348838
11:40:19 350253
11:40:20 349477
11:40:20 343801
11:40:21 348932
11:40:21 343393
11:40:22 343282
11:40:22 349230
11:40:23 345671
11:40:23 351349
11:40:24 346945
11:40:24 350110
11:40:25 350341
11:40:26 353369
11:40:26 349727
11:40:27 348246
11:40:27 349143
11:40:28 345335
11:40:28 346159
11:40:29 342223
11:40:29 345627
11:40:30 347638
11:40:30 345606
11:40:31 353002
11:40:31 347244
11:40:32 349806
11:40:32 347750
11:40:33 343239
11:40:33 346405
11:40:34 345217
11:40:34 345902
11:40:35 347855
11:40:35 337652
11:40:36 336739
11:40:36 338155
11:40:37 333140
11:40:37 332112
11:40:38 333928
11:40:38 334979
11:40:39 329413
11:40:39 323985
11:40:40 325872
11:40:40 325344
11:40:41 329004
11:40:41 325754
11:40:42 325548
11:40:42 328072
11:40:43 330242
11:40:43 330533
11:40:44 327818
11:40:44 325817
11:40:45 331516
11:40:45 336213
11:40:46 333140
11:40:46 334117
11:40:47 335846
11:40:47 336871
11:40:48 333549
11:40:48 338430
11:40:49 344371
11:40:49 341297
11:40:50 348902
11:40:50 347788
11:40:51 346736
11:40:51 351734
11:40:52 346429
11:40:52 352885
11:40:53 353705
11:40:53 358938
11:40:54 358977
11:40:54 367029
11:40:55 361066
11:40:55 369121
11:40:56 371437
11:40:56 377612
11:40:57 381991
11:40:57 387101
11:40:58 381477
11:40:58 376701
11:40:59 379766
11:40:59 376216
11:41:00 372365
11:41:00 374338
11:41:01 374501
11:41:01 369027
11:41:02 372061
11:41:02 372838
11:41:03 372862
11:41:03 0
11:41:04 0
11:41:04 0
11:41:05 0
11:41:05 0
