TransVit -> No-Color
Date : 25-01-2016 15:51:30
Temps   Vitesse
15:51:31 0 0
15:51:31 0 0
15:51:32 0 0
15:51:32 0 0
15:51:33 0 0
15:51:33 0 0
15:51:34 0 0
15:51:34 0 0
15:51:35 0 0
15:51:35 0 0
15:51:36 0 0
15:51:36 0 0
15:51:37 0 0
15:51:37 0 0
15:51:38 0 0
15:51:38 0 0
15:51:39 0 0
15:51:39 0 0
15:51:40 0 0
15:51:40 0 0
15:51:41 0 0
15:51:41 0 0
15:51:42 0 0
15:51:42 0 0
15:51:43 0 0
15:51:43 0 0
15:51:44 0 0
15:51:44 0 0
15:51:45 0 0
15:51:45 0 0
15:51:46 0 0
15:51:46 0 0
15:51:47 0 0
15:51:47 0 0
15:51:48 0 0
15:51:48 0 0
15:51:49 0 0
15:51:49 0 0
15:51:50 0 0
15:51:50 0 0
15:51:51 0 0
15:51:51 0 0
15:51:52 0 0
15:51:52 0 0
15:51:53 0 0
15:51:53 0 0
15:51:54 0 0
15:51:54 0 0
15:51:55 0 0
15:51:55 0 0
15:51:56 0 0
15:51:56 0 0
15:51:57 0 0
15:51:57 0 0
15:51:58 0 0
15:51:58 0 0
15:51:59 0 0
15:51:59 0 0
15:52:00 0 0
15:52:00 0 0
15:52:01 0 0
15:52:01 0 0
15:52:02 0 0
15:52:02 0 0
15:52:03 0 0
15:52:03 0 0
15:52:04 0 0
15:52:04 0 0
15:52:05 0 0
15:52:05 0 0
15:52:06 0 0
15:52:06 0 0
15:52:07 20000 20000
15:52:07 25420 40000
15:52:08 46027 80000
15:52:08 66047 80000
15:52:09 86314 100000
15:52:09 100000 100000
15:52:10 106303 120000
15:52:10 120000 140000
15:52:11 126447 140000
15:52:11 146523 160000
15:52:12 160000 180000
15:52:12 166562 180000
15:52:13 186501 200000
15:52:13 206755 220000
15:52:14 220000 240000
15:52:14 226729 240000
15:52:15 240000 260000
15:52:15 247002 260000
15:52:16 266955 280000
15:52:16 280000 280000
15:52:17 280000 300000
15:52:17 287317 300000
15:52:18 300000 300000
15:52:18 300000 300000
15:52:19 300000 300000
15:52:19 300000 300000
15:52:20 300000 300000
15:52:20 300000 300000
15:52:21 300000 300000
15:52:21 300000 300000
15:52:22 300000 300000
15:52:22 300000 300000
15:52:23 300000 300000
15:52:23 300000 300000
15:52:24 300000 300000
